Data_Tweet,Autor,Local,Tweet_Text,Retweeted,Favourited,Retweet Count,Favorite Count,In Reply to
2018-02-26 00:00:00,Saraiva,,"b'""Bem, talvez nao queira ser minha.""\n""Talvez eu queira.""\n""A Parte Que Falta Encontra o Grande O"", a sequencia do belissimo ""A Parte Que Falta"", em pre-venda: https://t.co/eUP0RUiyVh https://t.co/8nVy8Rl4uU'",False,False,5,27,
2018-02-25 22:00:01,Saraiva,,"b'O novo ""Authenticgames"" vem com sua credencial de MANINHA / MANINHO OFICIAL. A molecada pira: https://t.co/6a5ppoJEwg https://t.co/cvmudc2yrq'",False,False,2,8,
2018-02-25 19:00:02,Saraiva,,"b'Ja assistiu Aniquilacao? O novo filme pos apocaliptico com Natalie Portman, foi inspirado em um livro. Sabia dessa? Leia ""Annihilation"" no idioma original: https://t.co/9KpEEg1B9R https://t.co/S2MKljg4TR'",False,False,3,13,
2018-02-25 16:00:00,Saraiva,,"b'Sabia que Drauzio Varella possui uma otima bibliografia? O sistema prisional brasileiro, os beneficios da corrida e ate mesmo a morte sao alguns dos assuntos abordados por doutor: https://t.co/VlTQ8ff8wf https://t.co/TtvuS7le4k'",False,False,1,22,
2018-02-25 14:00:00,Saraiva,,b'E-books com desconto progressivo? Venha garantir suas proximas leituras aqui: https://t.co/NukkpApRs1 https://t.co/XA2wMJRP27',False,False,0,12,
2018-02-24 22:00:02,Saraiva,,"b'Um livro cujo titulo combina com os amores de carnaval. ""Um Sedutor Sem Coracao"", novo livro de Lisa Kleypas, na Saraiva: https://t.co/mlvOd6lH32 https://t.co/CVr3jVKdbY'",False,False,0,15,
2018-02-24 18:30:01,Saraiva,,b'Um cupom para os apaixonados por leitura. Use EUAMOLER e garanta 15% de desconto nos seus proximos livros: https://t.co/AzU2PV9RRm https://t.co/eSsIEIqf7o',False,False,13,71,
2018-02-24 16:30:01,Saraiva,,"b'Quem joga em casa, e sempre favorito. ""Let\'s Play Two"", uma apresentacao incrivel do Pearl Jam na terra natal do vocalista Eddie Vedder: https://t.co/JTj5FdxjXe https://t.co/zVTU7C5Wu2'",False,False,3,13,
2018-02-24 16:00:04,Saraiva,,"b'Seu foco e sempre gabaritar TUDO? Ai sim! Ofertas para TODOS os tipos de universitarios, voce encontra aqui: https://t.co/fOdrcXmhhP https://t.co/2wTrgC5HVZ'",False,False,0,18,
2018-02-24 14:00:00,Saraiva,,"b'A poesia direta e brutal da indiana Rui Kaur esta de volta para nosso deleite em ""O Que O Sol Faz Com As Flores"": https://t.co/EqmZ8fH2eR https://t.co/XoWMTqS7Uo'",False,False,8,34,
2018-02-23 23:00:02,Saraiva,,"b'Para chegar garantindo o semestre todo logo de cara. Ferias mais cedo, quem nao gosta? Para ajudar na missao, passa na Saraiva: https://t.co/h0tsgKCsd2 https://t.co/A8fDlzLzmU'",False,False,0,12,
2018-02-23 22:00:02,Saraiva,,"b'Voce conhece artistas que usam pseudonimos? Conta ai pra gente!\nEscolhemos Marcos Rey, vulgo de Edmundo Nonato, autor de diversos livros que marcaram a infancia de quem nasceu antes dos anos 2000: https://t.co/zVQDHYtfxv https://t.co/P5jx1GGJGj'",False,False,2,17,
2018-02-23 19:57:53,Saraiva,,"b'Se essa era a parte que faltava, agora nao falta mais! ""A Parte Que Falta Encontra o Grande O"" esta em pre-venda na Saraiva: https://t.co/tfh6IiaszX https://t.co/JGcMoSpkwu'",False,False,8,50,
2018-02-23 19:00:03,Saraiva,,"b'Quem ja ouviu o novo disco da @RosadeSaron?\n""Gran Paradiso"", ja na Saraiva: https://t.co/ZJuBEtZ2w0 https://t.co/ka4cxJN3EE'",False,False,1,9,
2018-02-23 17:17:16,Saraiva,,"b""Adivinha quem ja deu as caras pelo site da Saraiva? Isso mesmo: os 'Greatest Hits' das Spices! Say you ll be there: https://t.co/IyCAmDovsQ https://t.co/F5l2PWHGud""",False,False,4,23,
2018-02-23 16:00:01,Saraiva,,b'Quem le mais e mais feliz. Preparamos uma selecao especial de livros curtinhos para ler um atras do outro: https://t.co/ujzMzVWoNw https://t.co/RZWaBuwRwr',False,False,1,16,
2018-02-23 13:50:00,Saraiva,,b'Uma selecao de romances para te deixar sem folego. Pelas historias e pelo desconto. Ate 50% OFF aqui na Saraiva:  https://t.co/bZUkdMQ1Xs https://t.co/9gy3DLDwdM',False,False,2,22,
2018-02-22 23:30:00,Saraiva,,"b'Autografos, autografos e mais autografos. Venha garantir a dedicatoria do seu escritor favorito na Saraiva: https://t.co/Y2N7w1bdSF https://t.co/QV2yxISrcn'",False,False,0,6,
2018-02-22 22:00:00,Saraiva,,b'Va para o Exame da OAB com todos os caminhos para o sucesso bem claros na mente. https://t.co/FYBSwT9ELs https://t.co/KC0RuOybuB',False,False,1,18,
2018-02-22 20:17:56,Saraiva,,"b'Pode comemorar! Man Of The Woods, novo album de @jtimberlake , ja esta em pre-venda na Saraiva: https://t.co/OQalYfdMkc https://t.co/YaEHbOSwpU'",False,False,68,143,
2018-02-22 20:00:02,Saraiva,,"b'Se voce ja adora assistir os gemeos mais brasileiros de Orlando, nao pode perder o livro dos irmaos Neagle: https://t.co/2TviGWLVvl https://t.co/14VhyRw9dl'",False,False,0,2,
2018-02-22 18:00:05,Saraiva,,b'Voce e aquele Universitario que ama reunir inumeras referencias para fazer os melhores trabalhos possiveis? Entao venha aproveitar nossas ofertas para aumentar sua colecao:  https://t.co/h0tsgKCsd2 https://t.co/JqwZNba3oe',False,False,2,37,
2018-02-22 15:00:01,Saraiva,,b'Nao foi festar na semana do Carnaval e zerou todas as suas series? Sem problemas! A 6a Temporada de Homeland esta esperando por voce: https://t.co/MIoHXnubA3 https://t.co/oR4TmYTXJ6',False,False,1,11,
2018-02-21 21:00:03,Saraiva,,"b'Um livro sobre como bichinhos podem mudar completamente a maneira de vermos o mundo. ""Como os Animais Salvaram Minha Vida"", de @luisamell: https://t.co/MJQGVKyJJP https://t.co/yWEUuRAvpJ'",False,False,5,28,
2018-02-21 19:29:35,Saraiva,,b'#SeEuGanhasseUmMilhao ainda assim nao completaria minha estante com todos os livros que quero ler. E voces? https://t.co/jQ2BuW20eY',False,False,17,62,
2018-02-21 19:00:04,Saraiva,,"b'Enquanto Hollywood esperava que ela ficasse calada e cooperasse, Rose McGowan se rebelava ao denunciar os assedios cometidos pela industria. Para isso, e preciso ""Coragem"": https://t.co/DZckNc5syA https://t.co/eNhiYlAVoP'",False,False,2,11,
2018-02-21 17:28:12,Saraiva,,b'#EuAmoLer livros que nos engrandecem como seres humanos. Leia a impecavel obra da escritora nigeriana Chimamanda Ngozi Adichie: https://t.co/27kaoAV3Yl https://t.co/kNGSOIqkxt',False,False,3,33,
2018-02-20 23:20:00,Saraiva,,"b'""Essa e a receita da vida\nminha mae disse\nme abracando enquanto eu chorava\npense nas flores que voce planta\na cada ano no jardim\nelas nos ensinam \nque as pessoas\ntambem murcham\ncaem\ncriam raiz\ncrescem\npara florescer no final.""\n\nNovo livro de Rupi Kaur\nhttps://t.co/yEOlnce54h https://t.co/SlvtLvrULq'",False,False,12,80,
2018-02-20 22:00:03,Saraiva,,"b'Ja foi assistir #PanteraNegra nos cinemas? E ai, curtiu?\n\nTemos uma selecao de livros do lider de Wakanda para voce colocar em dia: https://t.co/jRcvyYIxh8 https://t.co/SeF6bPAegg'",False,False,2,31,
2018-02-20 19:00:04,Saraiva,,"b'Jessica Jones prometeu a si mesma nao se misturar com os herois e seus superpoderes, mas as coisas nao serao assim tao simples. Leia ""Alias"": https://t.co/Zr24rlddyh https://t.co/KkOl9RFqGk'",False,False,0,17,
2018-02-20 17:30:01,Saraiva,,"b'A arte e o grito de insatisfacao de um povo. Leia textos de Drummond, Hilda Hist, Leminski e muitos outros em ""50 Poemas de Revolta"":https://t.co/aeD39bqyr6 https://t.co/IbH4rxCJXN'",False,False,2,19,
2018-02-20 16:30:01,Saraiva,,"b'Para nao ficar memorizando o conteudo das provas de ultima hora, uma porcao de ofertas para aprender de verdade:https://t.co/9Rfhvji154 https://t.co/EVwxamu8HB'",False,False,0,10,
2018-02-20 14:52:27,Saraiva,,"b'Voce gostou de 50 Tons de Cinza? Entao nao perca a chance de embarcar na leitura de ""Dominada"", segundo livro da serie de Maya Banks: https://t.co/aWARCRYB2h https://t.co/4YZLPUuEDk'",False,False,0,11,
2018-02-20 00:00:00,Saraiva,,"b'Conheca todos os detalhes da fantastica biografia de Galileu Galilei, uma das personalidades mais importantes da historia da humanidade:https://t.co/zG2cPQMf6j https://t.co/0USMDCh2xl'",False,False,4,28,
2018-02-19 23:00:03,Saraiva,,b'Chega de surpresa na hora das provas finais. Temos uma Saraiva para cada tipo de Universitario. Confira: https://t.co/Ut3fup0pFK https://t.co/soe7utdkMz',False,False,1,13,
2018-02-19 22:00:00,Saraiva,,"b'De vez em quando, so precisamos de uma boa leitura para ampliar os horizontes e atravessar as tempestades da vida. Faca sua Livroterapia na Saraiva: https://t.co/04qWgNfy21 https://t.co/kcRhzk9k9J'",False,False,16,71,
2018-02-19 21:30:01,Saraiva,,"b'Programas para aproveitar o dia, conhecer escritores e estimular o conhecimento? Venha voando curtir nossos eventos por todo o Brasil: https://t.co/4GBaMv0yMY https://t.co/wAOephUBpp'",False,False,1,11,
2018-02-19 20:46:00,Saraiva,,"b'Como eu me sinto quando chego na prova com medo, mas descubro que so caiu aquilo que eu estudei. Querendo melhorar a sua performance nos estudos? Aproveite nossas ofertas: https://t.co/E3UJBlUyVl https://t.co/rEIYWYIc3n'",False,False,0,11,
2018-02-16 19:31:21,Saraiva,,b'Console Xbox One S - Forza Horizon 3 com promocao IMPERDIVEL? So aqui no nosso site: https://t.co/JU2Xh42XOe https://t.co/JLNOCMdZHe',False,False,0,17,
2018-02-15 19:00:04,Saraiva,,"b'Falando em #PanteraNegra, esse e o nome do novo som do @emicida . Aproveite para atualizar a discografia matadora do cara aqui: https://t.co/ZEg83VmcY2 https://t.co/6TernrcvmT'",False,False,16,104,
2018-02-15 16:45:14,Saraiva,,"b'Lucky You, Swifties: voces votaram e a diva Taylor Swift e quem ganhou a batalha! Tem #Reputation com 50% de desconto na Saraiva. https://t.co/qpFj15xVLS https://t.co/mYPRJ2ca5x'",False,False,100,253,
2018-02-15 15:00:03,Saraiva,,"b'Seguimos compartilhando leituras sobre os Panteras Negras. Leia Malcolm X, influencia direta na criacao do movimento: https://t.co/XLBMJgPzCS https://t.co/bNsRftwtdO'",False,False,0,20,
2018-02-15 12:00:00,Saraiva,,"b'Hoje, #PanteraNegra estreia nos cinemas. Para entender o contexto do movimento revolucionario que inspirou o novo heroi da Marvel, leia Martin Luther King: https://t.co/eQn0t4D0F2 https://t.co/dL9r1PmEwq'",False,False,19,108,
